"Name","alpha","gamma","n_bins","n_episodes","temperature","use_reward_shaping","average_reward_across_seeds"
"icy-sweep-19","0.25638138180808245","0.99","20","3000","0.7533880329578058","true","-145.94277954101562"
"sage-sweep-4","0.22310522420450996","0.99","20","3000","0.7487458789309913","true","-152.1953582763672"
"iconic-sweep-18","0.12063941020764576","0.99","20","3000","0.6353684881235291","true","-152.56353759765625"
"firm-sweep-1","0.23373089002431255","0.99","20","3000","0.7427537964588857","true","-155.50421142578125"
"fresh-sweep-7","0.2257769094971626","0.99","20","3000","0.7210248944341484","true","-156.0379638671875"
"good-sweep-5","0.19705235292945783","0.99","20","3000","0.7926276171425877","true","-163.57179260253906"
"pleasant-sweep-17","0.20205661833809369","0.99","20","3000","0.7294499275609987","true","-164.7950439453125"
"copper-sweep-8","0.2241875848102633","0.99","20","3000","0.7752747230449084","true","-165.6195526123047"
"decent-sweep-6","0.21764270044638645","0.99","25","3000","0.6835527819737157","true","-167.42599487304688"
"logical-sweep-15","0.1398525885264274","0.99","20","3000","0.7080004146348284","true","-167.61058044433594"
"treasured-sweep-14","0.15746599320173366","0.99","20","3000","0.823584056121438","true","-169.02830505371094"
"rose-sweep-13","0.18118996578145305","0.99","25","3000","0.7250893681959143","true","-169.09315490722656"
"scarlet-sweep-3","0.11255877118170146","0.99","25","3000","0.6303667032026474","true","-169.47314453125"
"honest-sweep-11","0.14411556159122704","0.99","25","3000","0.779021055769714","true","-178.3667449951172"
"frosty-sweep-12","0.18370855924455656","0.99","25","3000","0.8846607760280466","true","-179.76895141601562"
"gentle-sweep-16","0.1369075748771881","0.99","30","3000","0.7515082733987537","true","-185.3823699951172"
"cool-sweep-2","0.23607474651530305","0.99","30","3000","0.9977774493236796","true","-185.55943298339844"
"distinctive-sweep-10","0.12379267453821426","0.99","30","3000","0.7430490862006938","true","-187.68634033203125"
"wobbly-sweep-20","0.108753375325889","0.99","25","3000","0.9824614650231536","true","-188.02713012695312"
"classic-sweep-9","0.11939984165003986","0.99","30","3000","0.9879421197028568","true","-189.12045288085935"